customer_id,churn_probability,risk_level,tenure_months,support_tickets_90d,late_payments_6m,usage_drop_30d,nps_score,contract,payment_method,top_drivers
C000095,0.8849,high,18,2,1,0.164,38,month_to_month,boleto,total_charges(+192.21); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000096,0.3642,low,15,0,1,-0.117,37,one_year,pix,total_charges(+126.71); late_payments_6m(+0.27); has_premium(+0.00)
C000097,0.8201,high,41,1,0,0.085,-6,month_to_month,credit_card,total_charges(+486.43); nps_score(+3.05); support_tickets_90d(+0.36)
C000098,0.8045,high,39,2,1,-0.153,30,month_to_month,credit_card,total_charges(+360.50); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000099,0.8214,high,9,0,0,0.053,-44,month_to_month,pix,total_charges(+79.43); nps_score(+22.39); usage_drop_30d(+0.01)
C000100,0.3347,low,50,2,1,-0.467,29,one_year,credit_card,total_charges(+430.81); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000101,0.3178,low,12,0,0,0.044,44,one_year,pix,total_charges(+187.04); usage_drop_30d(+0.01)
C000102,0.6917,medium,49,3,0,-0.108,54,month_to_month,boleto,total_charges(+212.61); support_tickets_90d(+1.09)
C000103,0.5554,medium,1,3,0,-0.178,45,two_year,credit_card,total_charges(+13.10); support_tickets_90d(+1.09)
C000104,0.837,high,48,2,0,0.188,-11,month_to_month,pix,total_charges(+214.39); nps_score(+5.60); support_tickets_90d(+0.72)
C000105,0.5744,medium,48,0,0,0.029,-31,two_year,credit_card,total_charges(+444.96); nps_score(+15.77); usage_drop_30d(+0.01)
C000106,0.6818,medium,47,1,1,0.006,53,month_to_month,boleto,total_charges(+386.96); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000107,0.7422,medium,40,2,2,-0.08,34,month_to_month,credit_card,total_charges(+131.30); support_tickets_90d(+0.72); late_payments_6m(+0.55)
C000108,0.7767,high,29,0,1,0.211,37,month_to_month,boleto,total_charges(+314.06); late_payments_6m(+0.27); usage_drop_30d(+0.04)
C000109,0.4552,low,43,0,2,-0.028,79,month_to_month,credit_card,total_charges(+361.19); late_payments_6m(+0.55)
C000110,0.9469,high,17,2,0,0.318,-36,month_to_month,credit_card,total_charges(+52.88); nps_score(+18.32); support_tickets_90d(+0.72)
C000111,0.305,low,47,1,0,0.271,83,two_year,pix,total_charges(+574.59); support_tickets_90d(+0.36); usage_drop_30d(+0.05)
C000112,0.4621,low,34,0,0,0.307,0,two_year,credit_card,total_charges(+470.22); usage_drop_30d(+0.06)
C000113,0.8569,high,28,2,1,0.224,49,month_to_month,credit_card,total_charges(+395.33); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000114,0.612,medium,31,2,0,-0.059,20,two_year,credit_card,total_charges(+331.19); support_tickets_90d(+0.72)
C000115,0.5876,medium,35,1,0,0.059,8,two_year,boleto,total_charges(+336.03); support_tickets_90d(+0.36); usage_drop_30d(+0.01)
C000116,0.8145,high,3,1,0,0.013,-33,two_year,credit_card,total_charges(+37.20); nps_score(+16.79); support_tickets_90d(+0.36)
C000117,0.899,high,9,1,0,0.201,-4,month_to_month,boleto,total_charges(+130.24); nps_score(+2.04); support_tickets_90d(+0.36)
C000118,0.8408,high,15,2,0,0.048,36,month_to_month,boleto,total_charges(+192.51); support_tickets_90d(+0.72); usage_drop_30d(+0.01)
C000119,0.6906,medium,7,1,1,0.006,32,two_year,boleto,total_charges(+40.44); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000120,0.6031,medium,27,1,0,0.348,53,month_to_month,pix,total_charges(+271.16); support_tickets_90d(+0.36); usage_drop_30d(+0.07)
C000121,0.83,high,41,2,0,-0.009,-4,month_to_month,pix,total_charges(+446.83); nps_score(+2.04); support_tickets_90d(+0.72)
C000122,0.4691,low,40,1,0,-0.062,46,month_to_month,credit_card,total_charges(+167.31); support_tickets_90d(+0.36); has_premium(+0.00)
C000123,0.826,high,29,1,1,-0.022,22,month_to_month,boleto,total_charges(+320.27); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000124,0.6449,medium,52,2,0,0.243,42,month_to_month,credit_card,total_charges(+843.28); support_tickets_90d(+0.72); usage_drop_30d(+0.05)
C000125,0.6686,medium,34,2,0,0.084,38,month_to_month,credit_card,total_charges(+393.05); support_tickets_90d(+0.72); usage_drop_30d(+0.02)
C000126,0.849,high,5,0,0,0.133,3,month_to_month,credit_card,total_charges(+67.62); usage_drop_30d(+0.03)
C000127,0.7803,high,46,0,2,0.092,29,month_to_month,credit_card,total_charges(+466.18); late_payments_6m(+0.55); usage_drop_30d(+0.02)
C000128,0.7007,medium,35,2,0,-0.345,36,month_to_month,credit_card,total_charges(+325.94); support_tickets_90d(+0.72); has_premium(+0.00)
C000129,0.3907,low,39,0,0,-0.142,48,month_to_month,credit_card,total_charges(+416.21)
C000130,0.836,high,34,2,1,-0.0,73,month_to_month,boleto,total_charges(+239.63); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000131,0.8085,high,34,0,1,0.107,-2,month_to_month,pix,total_charges(+224.72); nps_score(+1.02); late_payments_6m(+0.27)
C000132,0.8242,high,6,0,1,-0.127,-21,month_to_month,credit_card,total_charges(+86.10); nps_score(+10.68); late_payments_6m(+0.27)
C000133,0.173,low,34,0,0,-0.133,65,two_year,credit_card,total_charges(+465.74)
C000134,0.7026,medium,48,1,0,-0.006,-25,month_to_month,credit_card,total_charges(+318.11); nps_score(+12.72); support_tickets_90d(+0.36)
C000135,0.7065,medium,19,0,0,0.289,56,month_to_month,credit_card,total_charges(+241.08); usage_drop_30d(+0.05); has_premium(+0.00)
C000136,0.6946,medium,37,1,1,-0.338,-12,month_to_month,pix,total_charges(+345.98); nps_score(+6.11); support_tickets_90d(+0.36)
C000137,0.504,medium,2,1,0,-0.427,-2,one_year,credit_card,total_charges(+13.39); nps_score(+1.02); support_tickets_90d(+0.36)
C000138,0.8618,high,21,0,1,0.362,17,month_to_month,credit_card,total_charges(+234.43); late_payments_6m(+0.27); usage_drop_30d(+0.07)
C000139,0.6244,medium,27,0,0,-0.225,-31,one_year,credit_card,total_charges(+336.97); nps_score(+15.77)
C000140,0.7689,high,59,3,0,-0.023,-14,month_to_month,credit_card,total_charges(+580.57); nps_score(+7.12); support_tickets_90d(+1.09)
C000141,0.9448,high,13,3,0,-0.22,-39,month_to_month,credit_card,total_charges(+175.39); nps_score(+19.84); support_tickets_90d(+1.09)
C000142,0.8502,high,17,4,1,-0.004,43,month_to_month,pix,total_charges(+172.95); support_tickets_90d(+1.45); late_payments_6m(+0.27)
C000143,0.8474,high,25,1,1,0.025,20,month_to_month,boleto,total_charges(+294.33); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000144,0.409,low,60,0,0,0.34,21,one_year,credit_card,total_charges(+416.34); usage_drop_30d(+0.06); has_premium(+0.00)
C000145,0.7657,high,52,1,1,0.18,18,one_year,boleto,total_charges(+841.48); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000146,0.7625,high,3,1,1,-0.181,19,month_to_month,pix,total_charges(+33.40); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000147,0.6222,medium,15,0,0,-0.293,3,month_to_month,credit_card,total_charges(+173.68); has_premium(+0.00)
C000148,0.3707,low,50,0,1,0.14,53,one_year,boleto,total_charges(+232.64); late_payments_6m(+0.27); usage_drop_30d(+0.03)
C000149,0.9594,high,4,1,0,-0.044,-42,month_to_month,boleto,total_charges(+22.52); nps_score(+21.37); support_tickets_90d(+0.36)
C000150,0.8249,high,52,1,0,-0.08,-30,month_to_month,boleto,total_charges(+691.17); nps_score(+15.26); support_tickets_90d(+0.36)
C000151,0.885,high,17,3,1,0.263,68,month_to_month,credit_card,total_charges(+172.23); support_tickets_90d(+1.09); late_payments_6m(+0.27)
C000152,0.6955,medium,56,0,1,-0.266,29,month_to_month,boleto,total_charges(+207.14); late_payments_6m(+0.27)
C000153,0.8643,high,18,2,0,-0.016,-51,one_year,boleto,total_charges(+232.38); nps_score(+25.95); support_tickets_90d(+0.72)
C000154,0.9007,high,27,2,0,0.164,31,month_to_month,boleto,total_charges(+214.04); support_tickets_90d(+0.72); usage_drop_30d(+0.03)
C000155,0.6744,medium,40,1,0,-0.162,-36,two_year,credit_card,total_charges(+546.34); nps_score(+18.32); support_tickets_90d(+0.36)
C000156,0.572,medium,8,0,1,0.284,66,one_year,credit_card,total_charges(+77.85); late_payments_6m(+0.27); usage_drop_30d(+0.05)
C000157,0.7697,high,34,3,0,-0.132,52,month_to_month,boleto,total_charges(+345.33); support_tickets_90d(+1.09)
C000158,0.6324,medium,31,2,0,0.037,93,month_to_month,boleto,total_charges(+404.18); support_tickets_90d(+0.72); usage_drop_30d(+0.01)
C000159,0.4578,low,48,0,0,-0.075,10,month_to_month,pix,total_charges(+330.27)
C000160,0.807,high,60,2,1,-0.443,-23,month_to_month,credit_card,total_charges(+390.71); nps_score(+11.70); support_tickets_90d(+0.72)
C000161,0.8349,high,40,1,1,-0.026,1,month_to_month,credit_card,total_charges(+352.56); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000162,0.94,high,25,2,0,0.193,2,month_to_month,boleto,total_charges(+309.17); support_tickets_90d(+0.72); usage_drop_30d(+0.04)
C000163,0.574,medium,25,2,0,-0.136,33,one_year,boleto,total_charges(+137.38); support_tickets_90d(+0.72)
C000164,0.8999,high,26,1,2,-0.063,-44,month_to_month,credit_card,total_charges(+116.00); nps_score(+22.39); late_payments_6m(+0.55)
C000165,0.7602,high,49,0,0,-0.043,20,month_to_month,boleto,total_charges(+588.01)
C000166,0.9196,high,20,0,2,0.146,-16,month_to_month,credit_card,total_charges(+159.25); nps_score(+8.14); late_payments_6m(+0.55)
C000167,0.8239,high,11,1,2,-0.015,2,one_year,credit_card,total_charges(+89.54); late_payments_6m(+0.55); support_tickets_90d(+0.36)
C000168,0.432,low,21,0,0,0.054,68,month_to_month,credit_card,total_charges(+75.25); usage_drop_30d(+0.01)
C000169,0.4795,low,2,0,0,0.057,55,two_year,credit_card,total_charges(+12.01); usage_drop_30d(+0.01)
C000170,0.5501,medium,7,1,0,-0.044,46,two_year,boleto,total_charges(+72.35); support_tickets_90d(+0.36)
C000171,0.7403,medium,6,1,1,0.354,42,two_year,credit_card,total_charges(+77.77); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000172,0.4392,low,47,1,0,-0.135,11,one_year,pix,total_charges(+337.13); support_tickets_90d(+0.36)
C000173,0.4217,low,44,1,0,0.177,18,one_year,credit_card,total_charges(+646.84); support_tickets_90d(+0.36); usage_drop_30d(+0.03)
C000174,0.9179,high,42,1,1,0.28,-35,month_to_month,boleto,total_charges(+316.54); nps_score(+17.81); support_tickets_90d(+0.36)
C000175,0.6398,medium,28,0,0,0.025,-23,one_year,credit_card,total_charges(+207.83); nps_score(+11.70); usage_drop_30d(+0.00)
C000176,0.5238,medium,44,0,0,0.061,24,month_to_month,credit_card,total_charges(+624.15); usage_drop_30d(+0.01)
C000177,0.9118,high,10,0,1,0.145,-19,month_to_month,boleto,total_charges(+103.21); nps_score(+9.67); late_payments_6m(+0.27)
C000178,0.3234,low,55,3,0,-0.017,44,two_year,pix,total_charges(+428.78); support_tickets_90d(+1.09); has_premium(+0.00)
C000179,0.6313,medium,31,1,1,-0.291,18,month_to_month,pix,total_charges(+281.06); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000180,0.6692,medium,57,1,1,0.005,10,month_to_month,credit_card,total_charges(+778.95); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000181,0.9501,high,10,2,1,0.346,-1,month_to_month,credit_card,total_charges(+132.54); support_tickets_90d(+0.72); nps_score(+0.51)
C000182,0.8063,high,30,2,0,0.152,36,month_to_month,credit_card,total_charges(+210.92); support_tickets_90d(+0.72); usage_drop_30d(+0.03)
C000183,0.355,low,42,0,0,0.064,44,one_year,credit_card,total_charges(+393.82); usage_drop_30d(+0.01); has_premium(+0.00)
C000184,0.8686,high,30,2,2,0.186,-11,two_year,credit_card,total_charges(+298.76); nps_score(+5.60); support_tickets_90d(+0.72)
C000185,0.6881,medium,27,1,0,0.024,2,month_to_month,pix,total_charges(+168.69); support_tickets_90d(+0.36); usage_drop_30d(+0.00)
C000186,0.8517,high,10,1,0,0.055,13,month_to_month,boleto,total_charges(+92.02); support_tickets_90d(+0.36); usage_drop_30d(+0.01)
C000187,0.6921,medium,23,0,0,-0.028,31,month_to_month,credit_card,total_charges(+217.63)
C000188,0.3685,low,15,0,0,0.136,31,one_year,pix,total_charges(+199.11); usage_drop_30d(+0.03)
C000189,0.8957,high,19,2,1,-0.047,16,month_to_month,boleto,total_charges(+250.62); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000190,0.4157,low,42,0,1,-0.007,45,one_year,credit_card,total_charges(+366.37); late_payments_6m(+0.27); has_premium(+0.00)
C000191,0.9339,high,38,2,1,0.208,15,month_to_month,boleto,total_charges(+340.59); support_tickets_90d(+0.72); late_payments_6m(+0.27)
C000192,0.9216,high,37,1,0,0.015,-29,month_to_month,boleto,total_charges(+425.66); nps_score(+14.76); support_tickets_90d(+0.36)
C000193,0.6339,medium,22,1,1,0.152,67,month_to_month,credit_card,total_charges(+171.78); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000194,0.7691,high,58,2,3,0.167,54,month_to_month,credit_card,total_charges(+655.19); late_payments_6m(+0.82); support_tickets_90d(+0.72)
C000195,0.8133,high,6,3,0,0.036,-28,one_year,credit_card,total_charges(+59.34); nps_score(+14.25); support_tickets_90d(+1.09)
C000196,0.7228,medium,21,2,0,-0.013,26,month_to_month,credit_card,total_charges(+132.72); support_tickets_90d(+0.72)
C000197,0.2721,low,8,0,1,-0.188,66,two_year,pix,total_charges(+49.49); late_payments_6m(+0.27)
C000198,0.6163,medium,21,0,0,-0.147,9,month_to_month,credit_card,total_charges(+294.45)
C000199,0.3638,low,58,1,0,0.16,47,two_year,credit_card,total_charges(+530.91); support_tickets_90d(+0.36); usage_drop_30d(+0.03)
C000200,0.7102,medium,22,0,1,0.156,59,month_to_month,pix,total_charges(+309.76); late_payments_6m(+0.27); usage_drop_30d(+0.03)
C000201,0.582,medium,55,1,0,-0.128,29,month_to_month,pix,total_charges(+444.75); support_tickets_90d(+0.36)
C000202,0.7257,medium,30,1,2,0.121,95,month_to_month,boleto,total_charges(+312.00); late_payments_6m(+0.55); support_tickets_90d(+0.36)
C000203,0.7609,high,42,0,0,0.089,43,month_to_month,boleto,total_charges(+697.30); usage_drop_30d(+0.02)
C000204,0.8341,high,28,1,1,0.218,24,month_to_month,pix,total_charges(+164.17); support_tickets_90d(+0.36); late_payments_6m(+0.27)
C000205,0.9354,high,16,2,1,0.44,14,month_to_month,boleto,total_charges(+53.82); support_tickets_90d(+0.72); late_payments_6m(+0.27)
