customer_id,churn_probability,risk_level
C000100,0.3347,low
C000101,0.3178,low
C000102,0.6917,medium
C000103,0.5554,medium
C000104,0.837,high
C000105,0.5744,medium
C000106,0.6818,medium
C000107,0.7422,medium
C000108,0.7767,high
C000109,0.4552,low
C000110,0.9469,high
C000111,0.305,low
C000112,0.4621,low
C000113,0.8569,high
C000114,0.612,medium
C000115,0.5876,medium
C000116,0.8145,high
C000117,0.899,high
C000118,0.8408,high
C000119,0.6906,medium
C000120,0.6031,medium
C000121,0.83,high
C000122,0.4691,low
C000123,0.826,high
C000124,0.6449,medium
C000125,0.6686,medium
C000126,0.849,high
C000127,0.7803,high
C000128,0.7007,medium
C000129,0.3907,low
C000130,0.836,high
C000131,0.8085,high
C000132,0.8242,high
C000133,0.173,low
C000134,0.7026,medium
C000135,0.7065,medium
C000136,0.6946,medium
C000137,0.504,medium
C000138,0.8618,high
C000139,0.6244,medium
C000140,0.7689,high
C000141,0.9448,high
C000142,0.8502,high
C000143,0.8474,high
C000144,0.409,low
C000145,0.7657,high
C000146,0.7625,high
C000147,0.6222,medium
C000148,0.3707,low
C000149,0.9594,high
C000150,0.8249,high
C000151,0.885,high
C000152,0.6955,medium
C000153,0.8643,high
C000154,0.9007,high
C000155,0.6744,medium
C000156,0.572,medium
C000157,0.7697,high
C000158,0.6324,medium
C000159,0.4578,low
C000160,0.807,high
C000161,0.8349,high
C000162,0.94,high
C000163,0.574,medium
C000164,0.8999,high
C000165,0.7602,high
C000166,0.9196,high
C000167,0.8239,high
C000168,0.432,low
C000169,0.4795,low
C000170,0.5501,medium
C000171,0.7403,medium
C000172,0.4392,low
C000173,0.4217,low
C000174,0.9179,high
C000175,0.6398,medium
C000176,0.5238,medium
C000177,0.9118,high
C000178,0.3234,low
C000179,0.6313,medium
C000180,0.6692,medium
C000181,0.9501,high
C000182,0.8063,high
C000183,0.355,low
C000184,0.8686,high
C000185,0.6881,medium
C000186,0.8517,high
C000187,0.6921,medium
C000188,0.3685,low
C000189,0.8957,high
C000190,0.4157,low
C000191,0.9339,high
C000192,0.9216,high
C000193,0.6339,medium
C000194,0.7691,high
C000195,0.8133,high
C000196,0.7228,medium
C000197,0.2721,low
C000198,0.6163,medium
C000199,0.3638,low
C000200,0.7102,medium
C000201,0.582,medium
C000202,0.7257,medium
C000203,0.7609,high
C000204,0.8341,high
C000205,0.9354,high
C000206,0.7003,medium
C000207,0.3196,low
C000208,0.7167,medium
C000209,0.7027,medium
C000210,0.7438,medium
C000211,0.3523,low
C000212,0.6231,medium
C000213,0.6268,medium
C000214,0.234,low
C000215,0.7076,medium
C000216,0.9553,high
C000217,0.8071,high
C000218,0.8742,high
C000219,0.8072,high
C000220,0.938,high
C000221,0.5855,medium
C000222,0.6856,medium
C000223,0.945,high
C000224,0.7323,medium
C000225,0.7658,high
C000226,0.8873,high
C000227,0.8704,high
C000228,0.3553,low
C000229,0.7423,medium
C000230,0.8412,high
C000231,0.8391,high
C000232,0.853,high
C000233,0.2682,low
C000234,0.745,medium
C000235,0.186,low
C000236,0.6491,medium
C000237,0.8152,high
C000238,0.693,medium
C000239,0.6387,medium
C000240,0.8837,high
C000241,0.3754,low
C000242,0.8131,high
C000243,0.5537,medium
C000244,0.6008,medium
C000245,0.9263,high
C000246,0.8477,high
C000247,0.5785,medium
C000248,0.5325,medium
C000249,0.8952,high
C000250,0.8339,high
C000251,0.8084,high
C000252,0.7898,high
C000253,0.8401,high
C000254,0.6728,medium
C000255,0.9613,high
C000256,0.7407,medium
C000257,0.7068,medium
C000258,0.5293,medium
C000259,0.848,high
C000260,0.6105,medium
C000261,0.8564,high
C000262,0.6611,medium
C000263,0.3797,low
C000264,0.6243,medium
C000265,0.5138,medium
C000266,0.833,high
C000267,0.457,low
C000268,0.2006,low
C000269,0.7787,high
C000270,0.8391,high
C000271,0.7147,medium
C000272,0.8378,high
C000273,0.7427,medium
C000274,0.6698,medium
C000275,0.8057,high
C000276,0.7926,high
C000277,0.768,high
C000278,0.8273,high
C000279,0.7141,medium
C000280,0.8108,high
C000281,0.8607,high
C000282,0.467,low
C000283,0.4742,low
C000284,0.5963,medium
C000285,0.9382,high
C000286,0.9365,high
C000287,0.903,high
C000288,0.6725,medium
C000289,0.8698,high
C000290,0.5469,medium
C000291,0.7666,high
C000292,0.2562,low
C000293,0.7667,high
C000294,0.8218,high
C000295,0.7995,high
C000296,0.3065,low
C000297,0.9144,high
C000298,0.6428,medium
C000299,0.7308,medium
C000300,0.682,medium
C000301,0.7096,medium
C000302,0.7157,medium
C000303,0.4759,low
C000304,0.8731,high
C000305,0.5628,medium
C000306,0.3826,low
C000307,0.4617,low
C000308,0.9037,high
C000309,0.6118,medium
C000310,0.6447,medium
C000311,0.7659,high
C000312,0.7253,medium
C000313,0.5516,medium
C000314,0.7367,medium
C000315,0.6575,medium
C000316,0.7006,medium
C000317,0.8398,high
C000318,0.5215,medium
C000319,0.6504,medium
C000320,0.9172,high
C000321,0.842,high
C000322,0.9171,high
C000323,0.6003,medium
C000324,0.7372,medium
C000325,0.9784,high
C000326,0.569,medium
C000327,0.8814,high
C000328,0.8091,high
C000329,0.8051,high
C000330,0.409,low
C000331,0.5488,medium
C000332,0.7998,high
C000333,0.829,high
C000334,0.5798,medium
C000335,0.7449,medium
C000336,0.583,medium
C000337,0.8797,high
C000338,0.9121,high
C000339,0.5173,medium
C000340,0.4669,low
C000341,0.3991,low
C000342,0.6518,medium
C000343,0.5224,medium
C000344,0.3267,low
C000345,0.6964,medium
C000346,0.7634,high
C000347,0.5211,medium
C000348,0.8621,high
C000349,0.8909,high
C000350,0.67,medium
C000351,0.8115,high
C000352,0.5975,medium
C000353,0.6975,medium
C000354,0.2556,low
C000355,0.6158,medium
C000356,0.6738,medium
C000357,0.7852,high
C000358,0.4416,low
C000359,0.7381,medium
C000360,0.7355,medium
C000361,0.515,medium
C000362,0.8328,high
C000363,0.7579,high
C000364,0.9481,high
C000365,0.7377,medium
C000366,0.8213,high
C000367,0.8129,high
C000368,0.9365,high
C000369,0.7095,medium
C000370,0.8599,high
C000371,0.7799,high
C000372,0.5781,medium
C000373,0.7145,medium
C000374,0.2561,low
C000375,0.8727,high
C000376,0.1541,low
C000377,0.5457,medium
C000378,0.9633,high
C000379,0.8637,high
C000380,0.5413,medium
C000381,0.2397,low
C000382,0.664,medium
C000383,0.848,high
C000384,0.8527,high
C000385,0.7846,high
C000386,0.6825,medium
C000387,0.3761,low
C000388,0.7654,high
C000389,0.8719,high
C000390,0.7031,medium
C000391,0.7737,high
C000392,0.6378,medium
C000393,0.5524,medium
C000394,0.4012,low
C000395,0.5716,medium
C000396,0.9259,high
C000397,0.8786,high
C000398,0.5179,medium
C000399,0.6725,medium
C000400,0.8834,high
C000401,0.7665,high
C000402,0.8443,high
C000403,0.9332,high
C000404,0.6742,medium
C000405,0.9515,high
C000406,0.6613,medium
C000407,0.8076,high
C000408,0.6497,medium
C000409,0.9284,high
C000410,0.6532,medium
C000411,0.686,medium
C000412,0.626,medium
C000413,0.6951,medium
C000414,0.9069,high
C000415,0.3224,low
C000416,0.6271,medium
C000417,0.9058,high
C000418,0.8939,high
C000419,0.6541,medium
C000420,0.3027,low
C000421,0.7427,medium
C000422,0.714,medium
C000423,0.5306,medium
C000424,0.4249,low
C000425,0.8717,high
C000426,0.9543,high
C000427,0.5427,medium
C000428,0.8868,high
C000429,0.8988,high
C000430,0.8882,high
C000431,0.8884,high
C000432,0.804,high
C000433,0.8786,high
C000434,0.852,high
C000435,0.4746,low
C000436,0.743,medium
C000437,0.8147,high
C000438,0.463,low
C000439,0.7727,high
C000440,0.6795,medium
C000441,0.7739,high
C000442,0.6654,medium
C000443,0.9649,high
C000444,0.7213,medium
C000445,0.8185,high
C000446,0.7525,high
C000447,0.3114,low
C000448,0.8168,high
C000449,0.5145,medium
C000450,0.3736,low
C000451,0.7942,high
C000452,0.4841,low
C000453,0.9192,high
C000454,0.8942,high
C000455,0.3952,low
C000456,0.8865,high
C000457,0.7017,medium
C000458,0.3703,low
C000459,0.8881,high
C000460,0.335,low
C000461,0.8207,high
C000462,0.8579,high
C000463,0.6307,medium
C000464,0.9012,high
C000465,0.3498,low
C000466,0.6862,medium
C000467,0.5008,medium
C000468,0.7718,high
C000469,0.5029,medium
C000470,0.2117,low
C000471,0.754,high
C000472,0.4041,low
C000473,0.6446,medium
C000474,0.6695,medium
C000475,0.6568,medium
C000476,0.316,low
C000477,0.5004,medium
C000478,0.8856,high
C000479,0.8154,high
C000480,0.6317,medium
C000481,0.744,medium
C000482,0.8204,high
C000483,0.8196,high
C000484,0.65,medium
C000485,0.8407,high
C000486,0.8921,high
C000487,0.8516,high
C000488,0.7019,medium
C000489,0.4885,low
C000490,0.1513,low
C000491,0.7574,high
C000492,0.9156,high
C000493,0.4778,low
C000494,0.5675,medium
C000495,0.4649,low
C000496,0.7299,medium
C000497,0.9114,high
C000498,0.7052,medium
C000499,0.7723,high
C000500,0.6168,medium
C000501,0.2809,low
C000502,0.7359,medium
C000503,0.9257,high
C000504,0.9247,high
C000505,0.4652,low
C000506,0.7724,high
C000507,0.8952,high
C000508,0.9196,high
C000509,0.8543,high
C000510,0.6572,medium
C000511,0.6709,medium
C000512,0.553,medium
C000513,0.6414,medium
C000514,0.6187,medium
C000515,0.8628,high
C000516,0.9287,high
C000517,0.8611,high
C000518,0.8366,high
C000519,0.9073,high
C000520,0.7687,high
C000521,0.5881,medium
C000522,0.9559,high
C000523,0.6162,medium
C000524,0.7254,medium
C000525,0.7615,high
C000526,0.6853,medium
C000527,0.6368,medium
C000528,0.8039,high
C000529,0.748,medium
C000530,0.536,medium
C000531,0.7853,high
C000532,0.9,high
C000533,0.6781,medium
C000534,0.6457,medium
C000535,0.5664,medium
C000536,0.7584,high
C000537,0.9733,high
C000538,0.6997,medium
C000539,0.9223,high
C000540,0.8637,high
C000541,0.8579,high
C000542,0.9027,high
C000543,0.9266,high
C000544,0.7228,medium
C000545,0.8808,high
C000546,0.5742,medium
C000547,0.6378,medium
C000548,0.5632,medium
C000549,0.7454,medium
C000550,0.7863,high
C000551,0.9706,high
C000552,0.6415,medium
C000553,0.7608,high
C000554,0.821,high
C000555,0.3848,low
C000556,0.8,high
C000557,0.6911,medium
C000558,0.6608,medium
C000559,0.7481,medium
C000560,0.6925,medium
C000561,0.955,high
C000562,0.5724,medium
C000563,0.5322,medium
C000564,0.8169,high
C000565,0.8741,high
C000566,0.7282,medium
C000567,0.6992,medium
C000568,0.3215,low
C000569,0.9623,high
C000570,0.6009,medium
C000571,0.7497,medium
C000572,0.6735,medium
C000573,0.8575,high
C000574,0.9261,high
C000575,0.639,medium
C000576,0.5912,medium
C000577,0.7879,high
C000578,0.6184,medium
C000579,0.4775,low
C000580,0.7475,medium
C000581,0.4811,low
C000582,0.851,high
C000583,0.9099,high
C000584,0.7811,high
C000585,0.6694,medium
C000586,0.6562,medium
C000587,0.6832,medium
C000588,0.468,low
C000589,0.6668,medium
C000590,0.4812,low
C000591,0.6382,medium
C000592,0.4971,low
C000593,0.6633,medium
C000594,0.9114,high
C000595,0.6559,medium
C000596,0.7067,medium
C000597,0.6058,medium
C000598,0.6961,medium
C000599,0.7828,high
C000600,0.5838,medium
C000601,0.6749,medium
C000602,0.6793,medium
C000603,0.4981,low
C000604,0.7036,medium
C000605,0.6448,medium
C000606,0.8338,high
C000607,0.7529,high
C000608,0.6985,medium
C000609,0.5855,medium
C000610,0.703,medium
C000611,0.681,medium
C000612,0.8082,high
C000613,0.7315,medium
C000614,0.8449,high
C000615,0.5408,medium
C000616,0.9437,high
C000617,0.7729,high
C000618,0.8853,high
C000619,0.8423,high
C000620,0.5155,medium
C000621,0.8136,high
C000622,0.8608,high
C000623,0.9796,high
C000624,0.4758,low
C000625,0.8683,high
C000626,0.3363,low
C000627,0.8169,high
C000628,0.917,high
C000629,0.7414,medium
C000630,0.7466,medium
C000631,0.607,medium
C000632,0.7099,medium
C000633,0.8281,high
C000634,0.9366,high
C000635,0.866,high
C000636,0.7827,high
C000637,0.8716,high
C000638,0.3336,low
C000639,0.904,high
C000640,0.4193,low
C000641,0.5661,medium
C000642,0.3996,low
C000643,0.8117,high
C000644,0.8179,high
C000645,0.6925,medium
C000646,0.6298,medium
C000647,0.9056,high
C000648,0.914,high
C000649,0.7393,medium
C000650,0.8478,high
C000651,0.8145,high
C000652,0.8896,high
C000653,0.7222,medium
C000654,0.703,medium
C000655,0.9256,high
C000656,0.5059,medium
C000657,0.7873,high
C000658,0.7777,high
C000659,0.7467,medium
C000660,0.7667,high
C000661,0.8315,high
C000662,0.8471,high
C000663,0.8422,high
C000664,0.8689,high
C000665,0.8625,high
C000666,0.6725,medium
C000667,0.7989,high
C000668,0.7937,high
C000669,0.5069,medium
C000670,0.5441,medium
C000671,0.8821,high
C000672,0.5222,medium
C000673,0.8343,high
C000674,0.8048,high
C000675,0.6796,medium
C000676,0.7203,medium
C000677,0.4802,low
C000678,0.9088,high
C000679,0.5509,medium
C000680,0.8007,high
C000681,0.7175,medium
C000682,0.7389,medium
C000683,0.5497,medium
C000684,0.8062,high
C000685,0.8399,high
C000686,0.8911,high
C000687,0.3768,low
C000688,0.4975,low
C000689,0.7927,high
C000690,0.8658,high
C000691,0.9393,high
C000692,0.8057,high
C000693,0.6251,medium
C000694,0.5705,medium
C000695,0.8307,high
C000696,0.26,low
C000697,0.5176,medium
C000698,0.5739,medium
C000699,0.9696,high
C000700,0.7851,high
C000701,0.7841,high
C000702,0.8632,high
C000703,0.6422,medium
C000704,0.9006,high
C000705,0.5077,medium
C000706,0.7628,high
C000707,0.4523,low
C000708,0.8472,high
C000709,0.7499,medium
C000710,0.3847,low
C000711,0.4573,low
C000712,0.7758,high
C000713,0.8031,high
C000714,0.7005,medium
C000715,0.8273,high
C000716,0.788,high
C000717,0.6631,medium
C000718,0.6535,medium
C000719,0.9063,high
C000720,0.9667,high
C000721,0.8985,high
C000722,0.5889,medium
C000723,0.7014,medium
C000724,0.7468,medium
C000725,0.8944,high
C000726,0.8378,high
C000727,0.7276,medium
C000728,0.7552,high
C000729,0.2313,low
C000730,0.5236,medium
C000731,0.7853,high
C000732,0.9656,high
C000733,0.7018,medium
C000734,0.3655,low
C000735,0.4639,low
C000736,0.4924,low
C000737,0.437,low
C000738,0.7611,high
C000739,0.2489,low
C000740,0.583,medium
C000741,0.7842,high
C000742,0.8322,high
C000743,0.7352,medium
C000744,0.5678,medium
C000745,0.3479,low
C000746,0.787,high
C000747,0.3693,low
C000748,0.483,low
C000749,0.9075,high
C000750,0.8502,high
C000751,0.8705,high
C000752,0.8344,high
C000753,0.5449,medium
C000754,0.6248,medium
C000755,0.8362,high
C000756,0.5722,medium
C000757,0.7797,high
C000758,0.8783,high
C000759,0.4221,low
C000760,0.3575,low
C000761,0.946,high
C000762,0.8258,high
C000763,0.4715,low
C000764,0.7266,medium
C000765,0.798,high
C000766,0.7583,high
C000767,0.3691,low
C000768,0.754,high
C000769,0.6986,medium
C000770,0.6961,medium
C000771,0.8645,high
C000772,0.8082,high
C000773,0.7518,high
C000774,0.841,high
C000775,0.6973,medium
C000776,0.9099,high
C000777,0.2807,low
C000778,0.8249,high
C000779,0.4333,low
C000780,0.597,medium
C000781,0.8381,high
C000782,0.3813,low
C000783,0.5462,medium
C000784,0.9682,high
C000785,0.7301,medium
C000786,0.6444,medium
C000787,0.4815,low
C000788,0.7255,medium
C000789,0.7223,medium
C000790,0.8247,high
C000791,0.8542,high
C000792,0.8571,high
C000793,0.8687,high
C000794,0.9469,high
C000795,0.9382,high
C000796,0.9626,high
C000797,0.7306,medium
C000798,0.7437,medium
C000799,0.2653,low
C000800,0.7366,medium
C000801,0.9113,high
C000802,0.807,high
C000803,0.2707,low
C000804,0.698,medium
C000805,0.6046,medium
C000806,0.7917,high
C000807,0.8359,high
C000808,0.8606,high
C000809,0.6179,medium
C000810,0.5315,medium
C000811,0.4243,low
C000812,0.715,medium
C000813,0.6973,medium
C000814,0.2382,low
C000815,0.1826,low
C000816,0.8374,high
C000817,0.8494,high
C000818,0.2672,low
C000819,0.7614,high
C000820,0.7421,medium
C000821,0.3895,low
C000822,0.8863,high
C000823,0.7372,medium
C000824,0.6003,medium
C000825,0.9014,high
C000826,0.2061,low
C000827,0.6066,medium
C000828,0.2126,low
C000829,0.7677,high
C000830,0.7915,high
C000831,0.9333,high
C000832,0.8534,high
C000833,0.472,low
C000834,0.8948,high
C000835,0.664,medium
C000836,0.6593,medium
C000837,0.543,medium
C000838,0.9145,high
C000839,0.7855,high
C000840,0.72,medium
C000841,0.8418,high
C000842,0.7168,medium
C000843,0.6857,medium
C000844,0.8762,high
C000845,0.3929,low
C000846,0.7269,medium
C000847,0.9749,high
C000848,0.7594,high
C000849,0.8491,high
C000850,0.6388,medium
C000851,0.4823,low
C000852,0.6958,medium
C000853,0.9559,high
C000854,0.7266,medium
C000855,0.6367,medium
C000856,0.9438,high
C000857,0.6513,medium
C000858,0.3992,low
C000859,0.4199,low
C000860,0.7863,high
C000861,0.5555,medium
C000862,0.8693,high
C000863,0.6921,medium
C000864,0.3344,low
C000865,0.9108,high
C000866,0.8043,high
C000867,0.7852,high
C000868,0.7874,high
C000869,0.3768,low
C000870,0.9505,high
C000871,0.8003,high
C000872,0.9672,high
C000873,0.7165,medium
C000874,0.831,high
C000875,0.6752,medium
C000876,0.8953,high
C000877,0.8445,high
C000878,0.9114,high
C000879,0.1855,low
C000880,0.7163,medium
C000881,0.5802,medium
C000882,0.6775,medium
C000883,0.8045,high
C000884,0.7163,medium
C000885,0.6791,medium
C000886,0.5454,medium
C000887,0.8437,high
C000888,0.9575,high
C000889,0.7992,high
C000890,0.6767,medium
C000891,0.731,medium
C000892,0.4884,low
C000893,0.9244,high
C000894,0.8294,high
C000895,0.8523,high
C000896,0.9421,high
C000897,0.9279,high
C000898,0.8587,high
C000899,0.6035,medium
C000900,0.5009,medium
C000901,0.7321,medium
C000902,0.9416,high
C000903,0.7455,medium
C000904,0.6413,medium
C000905,0.671,medium
C000906,0.5468,medium
C000907,0.6423,medium
C000908,0.8282,high
C000909,0.6604,medium
C000910,0.7332,medium
C000911,0.5478,medium
C000912,0.6381,medium
C000913,0.1816,low
C000914,0.7507,high
C000915,0.8938,high
C000916,0.848,high
C000917,0.6057,medium
C000918,0.8641,high
C000919,0.6094,medium
C000920,0.1249,low
C000921,0.7593,high
C000922,0.6638,medium
C000923,0.8749,high
C000924,0.9036,high
C000925,0.7488,medium
C000926,0.6817,medium
C000927,0.9227,high
C000928,0.7215,medium
C000929,0.3576,low
C000930,0.389,low
C000931,0.3212,low
C000932,0.7515,high
C000933,0.7193,medium
C000934,0.688,medium
C000935,0.3363,low
C000936,0.8979,high
C000937,0.3898,low
C000938,0.8419,high
C000939,0.8461,high
C000940,0.5734,medium
C000941,0.3246,low
C000942,0.3429,low
C000943,0.8895,high
C000944,0.8181,high
C000945,0.9116,high
C000946,0.5653,medium
C000947,0.7719,high
C000948,0.2709,low
C000949,0.4382,low
C000950,0.6159,medium
C000951,0.526,medium
C000952,0.2852,low
C000953,0.7214,medium
C000954,0.7768,high
C000955,0.6764,medium
C000956,0.6604,medium
C000957,0.916,high
C000958,0.8915,high
C000959,0.6837,medium
C000960,0.8959,high
C000961,0.8355,high
C000962,0.6156,medium
C000963,0.8584,high
C000964,0.224,low
C000965,0.6143,medium
C000966,0.6788,medium
C000967,0.616,medium
C000968,0.5535,medium
C000969,0.8715,high
C000970,0.603,medium
C000971,0.7017,medium
C000972,0.8755,high
C000973,0.6556,medium
C000974,0.7812,high
C000975,0.8447,high
C000976,0.8674,high
C000977,0.212,low
C000978,0.478,low
C000979,0.779,high
C000980,0.544,medium
C000981,0.3509,low
C000982,0.6837,medium
C000983,0.8474,high
C000984,0.3355,low
C000985,0.942,high
C000986,0.4746,low
C000987,0.5058,medium
C000988,0.7962,high
C000989,0.7127,medium
C000990,0.6889,medium
C000991,0.7964,high
C000992,0.907,high
C000993,0.9079,high
C000994,0.6216,medium
C000995,0.6614,medium
C000996,0.5546,medium
C000997,0.768,high
C000998,0.6694,medium
C000999,0.9285,high
C001000,0.7399,medium
C001001,0.8087,high
C001002,0.7893,high
C001003,0.5861,medium
C001004,0.9027,high
C001005,0.7674,high
C001006,0.5561,medium
C001007,0.7551,high
C001008,0.5341,medium
C001009,0.6468,medium
C001010,0.9019,high
C001011,0.6728,medium
C001012,0.9686,high
C001013,0.4961,low
C001014,0.7923,high
C001015,0.7023,medium
C001016,0.5574,medium
C001017,0.4168,low
C001018,0.9114,high
C001019,0.8867,high
C001020,0.667,medium
C001021,0.9533,high
C001022,0.7255,medium
C001023,0.7546,high
C001024,0.5032,medium
C001025,0.7996,high
C001026,0.5097,medium
C001027,0.8699,high
C001028,0.4337,low
C001029,0.8682,high
C001030,0.5028,medium
C001031,0.9132,high
C001032,0.8228,high
C001033,0.9303,high
C001034,0.9841,high
C001035,0.7972,high
C001036,0.5635,medium
C001037,0.785,high
C001038,0.9013,high
C001039,0.4683,low
C001040,0.5121,medium
C001041,0.8032,high
C001042,0.317,low
C001043,0.7759,high
C001044,0.7694,high
C001045,0.8361,high
C001046,0.8674,high
C001047,0.7979,high
C001048,0.6872,medium
C001049,0.588,medium
C001050,0.6554,medium
C001051,0.929,high
C001052,0.6745,medium
C001053,0.3658,low
C001054,0.4597,low
C001055,0.7324,medium
C001056,0.7211,medium
C001057,0.6872,medium
C001058,0.8989,high
C001059,0.8901,high
C001060,0.7986,high
C001061,0.6957,medium
C001062,0.8869,high
C001063,0.7218,medium
C001064,0.3494,low
C001065,0.7184,medium
C001066,0.0924,low
C001067,0.7546,high
C001068,0.8558,high
C001069,0.8888,high
C001070,0.1455,low
C001071,0.7395,medium
C001072,0.5878,medium
C001073,0.4305,low
C001074,0.908,high
C001075,0.7548,high
C001076,0.3348,low
C001077,0.9453,high
C001078,0.4329,low
C001079,0.6904,medium
C001080,0.8048,high
C001081,0.4746,low
C001082,0.5596,medium
C001083,0.6165,medium
C001084,0.8744,high
C001085,0.4992,low
C001086,0.603,medium
C001087,0.9181,high
C001088,0.5844,medium
C001089,0.7829,high
C001090,0.6594,medium
C001091,0.6309,medium
C001092,0.6666,medium
C001093,0.8258,high
C001094,0.8825,high
C001095,0.4052,low
C001096,0.7518,high
C001097,0.3204,low
C001098,0.6571,medium
C001099,0.8264,high
C001100,0.7704,high
C001101,0.9419,high
C001102,0.834,high
C001103,0.5292,medium
C001104,0.6402,medium
C001105,0.9532,high
C001106,0.8687,high
C001107,0.9293,high
C001108,0.5123,medium
C001109,0.9136,high
C001110,0.886,high
C001111,0.3491,low
C001112,0.8977,high
C001113,0.7557,high
C001114,0.8893,high
C001115,0.7089,medium
C001116,0.7899,high
C001117,0.2364,low
C001118,0.5389,medium
C001119,0.8348,high
C001120,0.8917,high
C001121,0.9349,high
C001122,0.7817,high
C001123,0.8858,high
C001124,0.7447,medium
C001125,0.5352,medium
C001126,0.5273,medium
C001127,0.8683,high
C001128,0.7994,high
C001129,0.7745,high
C001130,0.8846,high
C001131,0.4503,low
C001132,0.2346,low
C001133,0.8366,high
C001134,0.7046,medium
C001135,0.7108,medium
C001136,0.4803,low
C001137,0.6881,medium
C001138,0.4393,low
C001139,0.881,high
C001140,0.9287,high
C001141,0.7708,high
C001142,0.3952,low
C001143,0.54,medium
C001144,0.7976,high
C001145,0.6018,medium
C001146,0.8358,high
C001147,0.4829,low
C001148,0.4378,low
C001149,0.6666,medium
C001150,0.7857,high
C001151,0.7482,medium
C001152,0.6628,medium
C001153,0.3732,low
C001154,0.7913,high
C001155,0.7937,high
C001156,0.8388,high
C001157,0.3397,low
C001158,0.89,high
C001159,0.7798,high
C001160,0.9005,high
C001161,0.7073,medium
C001162,0.6274,medium
C001163,0.6454,medium
C001164,0.6041,medium
C001165,0.9406,high
C001166,0.8895,high
C001167,0.9306,high
C001168,0.2624,low
C001169,0.7629,high
C001170,0.6812,medium
C001171,0.6206,medium
C001172,0.5278,medium
C001173,0.514,medium
C001174,0.8045,high
C001175,0.4585,low
C001176,0.6305,medium
C001177,0.6264,medium
C001178,0.8226,high
C001179,0.7112,medium
C001180,0.727,medium
C001181,0.4308,low
C001182,0.804,high
C001183,0.3265,low
C001184,0.6199,medium
C001185,0.7676,high
C001186,0.8222,high
C001187,0.7936,high
C001188,0.79,high
C001189,0.4945,low
C001190,0.7868,high
C001191,0.571,medium
C001192,0.4855,low
C001193,0.5446,medium
C001194,0.664,medium
C001195,0.8824,high
C001196,0.8595,high
C001197,0.2985,low
C001198,0.6538,medium
C001199,0.7243,medium
C001200,0.5569,medium
C001201,0.7206,medium
C001202,0.9183,high
C001203,0.6852,medium
C001204,0.8483,high
C001205,0.779,high
C001206,0.7403,medium
C001207,0.605,medium
C001208,0.8603,high
C001209,0.5734,medium
C001210,0.5068,medium
C001211,0.7523,high
C001212,0.678,medium
C001213,0.4856,low
C001214,0.6671,medium
C001215,0.8629,high
C001216,0.6731,medium
C001217,0.5653,medium
C001218,0.9188,high
C001219,0.4101,low
C001220,0.8151,high
C001221,0.2686,low
C001222,0.6623,medium
C001223,0.935,high
C001224,0.5853,medium
C001225,0.6639,medium
C001226,0.8968,high
C001227,0.5025,medium
C001228,0.8626,high
C001229,0.9594,high
C001230,0.8111,high
C001231,0.9438,high
C001232,0.5456,medium
C001233,0.644,medium
C001234,0.7887,high
C001235,0.7664,high
C001236,0.9399,high
C001237,0.667,medium
C001238,0.759,high
