customer_id,tenure_months,monthly_charges,total_charges,support_tickets_90d,late_payments_6m,payment_method,contract,has_auto_pay,has_premium,usage_drop_30d,nps_score,churn
C000099,9,92.95,916.18,0,0,pix,month_to_month,1,0,0.053,-44,0
C000100,50,99.08,4969.13,2,1,credit_card,one_year,1,1,-0.467,29,1
C000101,12,180.72,2157.4,0,0,pix,one_year,1,0,0.044,44,0
C000102,49,49.28,2452.4,3,0,boleto,month_to_month,1,0,-0.108,54,1
C000103,1,127.49,151.05,3,0,credit_card,two_year,1,0,-0.178,45,0
C000104,48,51.23,2472.88,2,0,pix,month_to_month,0,0,0.188,-11,1
C000105,48,106.21,5132.42,0,0,credit_card,two_year,0,0,0.029,-31,0
C000106,47,94.82,4463.38,1,1,boleto,month_to_month,1,1,0.006,53,1
C000107,40,37.02,1514.47,2,2,credit_card,month_to_month,1,0,-0.08,34,1
C000108,29,123.62,3622.53,0,1,boleto,month_to_month,1,0,0.211,37,1
C000109,43,96.7,4166.18,0,2,credit_card,month_to_month,1,0,-0.028,79,1
C000110,17,36.53,609.95,2,0,credit_card,month_to_month,0,0,0.318,-36,1
C000111,47,139.38,6627.61,1,0,pix,two_year,0,0,0.271,83,0
C000112,34,160.23,5423.76,0,0,credit_card,two_year,1,0,0.307,0,0
C000113,28,162.15,4559.89,2,1,credit_card,month_to_month,0,0,0.224,49,1
C000114,31,122.56,3820.16,2,0,credit_card,two_year,0,0,-0.059,20,1
C000115,35,111.61,3875.94,1,0,boleto,two_year,1,1,0.059,8,1
C000116,3,156.49,429.07,1,0,credit_card,two_year,0,0,0.013,-33,1
C000117,9,168.88,1502.26,1,0,boleto,month_to_month,1,1,0.201,-4,1
C000118,15,149.67,2220.51,2,0,boleto,month_to_month,1,1,0.048,36,1
C000119,7,77.05,466.42,1,1,boleto,two_year,1,0,0.006,32,1
C000120,27,117.05,3127.7,1,0,pix,month_to_month,1,0,0.348,53,1
C000121,41,125.38,5154.02,2,0,pix,month_to_month,0,0,-0.009,-4,1
C000122,40,46.66,1929.83,1,0,credit_card,month_to_month,1,1,-0.062,46,0
C000123,29,126.43,3694.12,1,1,boleto,month_to_month,1,0,-0.022,22,1
C000124,52,189.55,9726.87,2,0,credit_card,month_to_month,1,0,0.243,42,1
C000125,34,132.4,4533.59,2,0,credit_card,month_to_month,1,0,0.084,38,0
C000126,5,161.57,779.94,0,0,credit_card,month_to_month,0,0,0.133,3,1
C000127,46,116.4,5377.15,0,2,credit_card,month_to_month,0,0,0.092,29,1
C000128,35,107.44,3759.6,2,0,credit_card,month_to_month,0,1,-0.345,36,1
C000129,39,123.34,4800.8,0,0,credit_card,month_to_month,1,0,-0.142,48,0
C000130,34,81.45,2764.05,2,1,boleto,month_to_month,0,0,-0.0,73,1
C000131,34,76.27,2591.99,0,1,pix,month_to_month,0,1,0.107,-2,1
C000132,6,154.32,993.14,0,1,credit_card,month_to_month,1,1,-0.127,-21,1
C000133,34,158.03,5372.1,0,0,credit_card,two_year,1,0,-0.133,65,0
C000134,48,75.31,3669.22,1,0,credit_card,month_to_month,1,1,-0.006,-25,0
C000135,19,143.88,2780.71,0,0,credit_card,month_to_month,0,1,0.289,56,1
C000136,37,106.96,3990.74,1,1,pix,month_to_month,1,0,-0.338,-12,1
C000137,2,121.89,154.46,1,0,credit_card,one_year,1,0,-0.427,-2,0
C000138,21,126.11,2704.09,0,1,credit_card,month_to_month,0,0,0.362,17,1
C000139,27,144.8,3886.77,0,0,credit_card,one_year,0,0,-0.225,-31,1
C000140,59,112.9,6696.6,3,0,credit_card,month_to_month,1,0,-0.023,-14,1
C000141,13,159.36,2023.0,3,0,credit_card,month_to_month,0,1,-0.22,-39,1
C000142,17,120.83,1994.85,4,1,pix,month_to_month,1,1,-0.004,43,0
C000143,25,131.85,3394.98,1,1,boleto,month_to_month,1,0,0.025,20,1
C000144,60,80.84,4802.3,0,0,credit_card,one_year,0,1,0.34,21,1
C000145,52,185.55,9706.06,1,1,boleto,one_year,0,1,0.18,18,0
C000146,3,126.44,385.25,1,1,pix,month_to_month,1,1,-0.181,19,1
C000147,15,134.95,2003.32,0,0,credit_card,month_to_month,1,1,-0.293,3,1
C000148,50,53.71,2683.43,0,1,boleto,one_year,1,1,0.14,53,0
C000149,4,81.21,259.77,1,0,boleto,month_to_month,0,0,-0.044,-42,0
C000150,52,153.33,7972.26,1,0,boleto,month_to_month,1,1,-0.08,-30,0
C000151,17,120.04,1986.56,3,1,credit_card,month_to_month,0,1,0.263,68,1
C000152,56,43.02,2389.22,0,1,boleto,month_to_month,0,0,-0.266,29,0
C000153,18,146.34,2680.39,2,0,boleto,one_year,1,0,-0.016,-51,1
C000154,27,90.97,2468.83,2,0,boleto,month_to_month,0,0,0.164,31,1
C000155,40,159.4,6301.74,1,0,credit_card,two_year,0,0,-0.162,-36,1
C000156,8,106.93,897.98,0,1,credit_card,one_year,0,0,0.284,66,1
C000157,34,117.16,3983.25,3,0,boleto,month_to_month,1,0,-0.132,52,1
C000158,31,151.26,4662.06,2,0,boleto,month_to_month,1,0,0.037,93,0
C000159,48,78.59,3809.55,0,0,pix,month_to_month,1,0,-0.075,10,1
C000160,60,75.25,4506.66,2,1,credit_card,month_to_month,0,0,-0.443,-23,1
C000161,40,103.12,4066.62,1,1,credit_card,month_to_month,0,1,-0.026,1,0
C000162,25,138.95,3566.17,2,0,boleto,month_to_month,0,1,0.193,2,1
C000163,25,63.42,1584.62,2,0,boleto,one_year,1,0,-0.136,33,1
C000164,26,51.62,1338.02,1,2,credit_card,month_to_month,1,0,-0.063,-44,0
C000165,49,138.83,6782.43,0,0,boleto,month_to_month,0,0,-0.043,20,1
C000166,20,88.9,1836.91,0,2,credit_card,month_to_month,0,0,0.146,-16,1
C000167,11,96.27,1032.75,1,2,credit_card,one_year,0,0,-0.015,2,1
C000168,21,45.01,868.0,0,0,credit_card,month_to_month,1,0,0.054,68,1
C000169,2,86.24,138.54,0,0,credit_card,two_year,0,0,0.057,55,0
C000170,7,109.74,834.48,1,0,boleto,two_year,1,0,-0.044,46,0
C000171,6,142.56,896.99,1,1,credit_card,two_year,0,1,0.354,42,1
C000172,47,83.01,3888.58,1,0,pix,one_year,0,0,-0.135,11,0
C000173,44,168.01,7461.02,1,0,credit_card,one_year,1,1,0.177,18,0
C000174,42,86.04,3651.1,1,1,boleto,month_to_month,1,0,0.28,-35,1
C000175,28,86.09,2397.24,0,0,credit_card,one_year,0,0,0.025,-23,0
C000176,44,163.81,7199.24,0,0,credit_card,month_to_month,1,0,0.061,24,0
C000177,10,117.4,1190.48,0,1,boleto,month_to_month,1,0,0.145,-19,1
C000178,55,90.68,4945.76,3,0,pix,two_year,1,1,-0.017,44,1
C000179,31,104.57,3241.91,1,1,pix,month_to_month,1,0,-0.291,18,1
C000180,57,157.36,8984.81,1,1,credit_card,month_to_month,1,0,0.005,10,1
C000181,10,161.32,1528.82,2,1,credit_card,month_to_month,0,1,0.346,-1,1
C000182,30,81.41,2432.9,2,0,credit_card,month_to_month,0,0,0.152,36,1
C000183,42,108.51,4542.47,0,0,credit_card,one_year,0,1,0.064,44,0
C000184,30,113.16,3446.07,2,2,credit_card,two_year,0,0,0.186,-11,1
C000185,27,75.48,1945.78,1,0,pix,month_to_month,1,1,0.024,2,0
C000186,10,108.05,1061.43,1,0,boleto,month_to_month,1,1,0.055,13,1
C000187,23,110.19,2510.2,0,0,credit_card,month_to_month,0,0,-0.028,31,1
C000188,15,149.91,2296.61,0,0,pix,one_year,1,0,0.136,31,0
C000189,19,152.26,2890.76,2,1,boleto,month_to_month,1,1,-0.047,16,1
C000190,42,98.48,4225.87,0,1,credit_card,one_year,0,1,-0.007,45,0
C000191,38,102.51,3928.55,2,1,boleto,month_to_month,0,0,0.208,15,1
C000192,37,133.25,4909.75,1,0,boleto,month_to_month,0,0,0.015,-29,1
C000193,22,89.52,1981.39,1,1,credit_card,month_to_month,1,0,0.152,67,0
C000194,58,130.6,7557.24,2,3,credit_card,month_to_month,1,1,0.167,54,1
C000195,6,106.92,684.51,3,0,credit_card,one_year,1,0,0.036,-28,1
C000196,21,76.07,1530.88,2,0,credit_card,month_to_month,1,0,-0.013,26,1
C000197,8,76.51,570.9,0,1,pix,two_year,1,0,-0.188,66,1
C000198,21,160.65,3396.37,0,0,credit_card,month_to_month,1,0,-0.147,9,1
C000199,58,104.53,6123.75,1,0,credit_card,two_year,0,1,0.16,47,0
C000200,22,167.41,3572.97,0,1,pix,month_to_month,0,0,0.156,59,1
C000201,55,92.02,5129.97,1,0,pix,month_to_month,0,0,-0.128,29,1
C000202,30,120.19,3598.76,1,2,boleto,month_to_month,1,1,0.121,95,0
C000203,42,193.74,8043.04,0,0,boleto,month_to_month,0,0,0.089,43,1
C000204,28,72.99,1893.67,1,1,pix,month_to_month,0,1,0.218,24,1
C000205,16,43.58,620.75,2,1,boleto,month_to_month,1,1,0.44,14,1
C000206,46,155.03,7130.42,0,0,credit_card,month_to_month,0,1,0.153,18,1
C000207,59,81.06,4779.34,1,0,credit_card,one_year,1,0,-0.074,0,1
C000208,16,109.28,1780.06,0,0,credit_card,one_year,0,0,0.184,-19,0
C000209,47,89.49,4178.69,3,0,credit_card,one_year,0,0,-0.138,-11,1
C000210,16,119.39,1854.77,0,1,credit_card,one_year,0,0,0.45,15,1
C000211,44,76.73,3355.52,1,2,credit_card,two_year,1,0,-0.171,48,0
C000212,48,103.7,4979.38,0,0,credit_card,month_to_month,0,0,0.129,31,1
C000213,27,125.74,3406.61,0,0,boleto,two_year,0,0,0.05,26,1
C000214,45,74.71,3322.46,0,0,credit_card,month_to_month,1,0,-0.024,94,1
C000215,17,85.5,1498.52,1,1,credit_card,month_to_month,0,0,-0.036,79,1
C000216,5,97.84,458.14,1,0,boleto,month_to_month,0,0,0.295,-12,1
C000217,6,59.99,316.46,1,0,credit_card,month_to_month,0,1,0.152,45,0
C000218,27,95.21,2543.56,3,0,credit_card,month_to_month,1,1,0.023,-22,1
C000219,55,114.16,6332.43,2,2,credit_card,month_to_month,1,0,0.362,29,1
C000220,8,96.02,761.49,1,2,boleto,one_year,0,1,0.029,-28,0
C000221,28,100.5,2779.33,1,1,pix,two_year,1,0,0.182,-1,0
C000222,43,109.3,4746.35,2,0,credit_card,month_to_month,0,1,-0.191,42,1
C000223,13,87.05,1238.77,2,3,pix,month_to_month,0,0,-0.182,4,1
C000224,44,134.19,5914.72,1,1,pix,one_year,0,0,0.178,-18,1
C000225,19,160.26,3106.62,1,0,pix,month_to_month,1,1,0.105,-4,1
C000226,49,93.75,4645.39,3,1,pix,month_to_month,1,1,0.436,-13,1
C000227,35,126.98,4414.09,2,2,boleto,month_to_month,1,0,-0.077,34,1
C000228,33,101.61,3354.57,0,0,credit_card,one_year,0,0,0.172,62,0
C000229,11,122.79,1286.59,1,0,credit_card,month_to_month,1,1,0.006,13,0
C000230,28,164.8,4604.22,2,1,credit_card,month_to_month,0,0,0.203,56,1
C000231,52,127.8,6614.45,2,0,credit_card,month_to_month,0,0,0.188,0,1
C000232,2,47.93,75.72,3,0,pix,month_to_month,1,0,0.045,16,0
C000233,46,125.89,5753.44,0,0,credit_card,month_to_month,1,0,-0.083,82,0
C000234,30,153.15,4580.15,1,1,credit_card,month_to_month,1,0,-0.011,14,1
C000235,44,102.24,4525.35,0,1,pix,two_year,1,0,-0.15,57,0
C000236,40,144.85,5787.91,0,0,credit_card,month_to_month,1,0,0.116,-5,1
C000237,26,85.85,2138.78,2,1,credit_card,month_to_month,0,1,-0.456,19,0
C000238,19,58.01,1064.81,0,0,credit_card,month_to_month,1,1,-0.055,-10,1
C000239,38,114.94,4291.78,2,0,credit_card,two_year,0,0,0.213,22,1
C000240,9,48.52,448.91,1,1,credit_card,month_to_month,0,0,0.208,28,1
C000241,36,101.61,3683.05,1,0,credit_card,one_year,0,1,-0.24,46,0
C000242,6,155.04,943.06,1,1,boleto,two_year,1,1,0.155,0,1
C000243,39,43.16,1643.8,1,1,credit_card,two_year,0,1,-0.155,14,0
C000244,38,65.22,2490.61,2,2,boleto,two_year,1,1,-0.018,62,1
C000245,6,73.88,419.77,2,1,credit_card,month_to_month,1,1,0.188,-22,1
C000246,46,107.78,4901.14,0,0,credit_card,month_to_month,0,0,-0.126,-67,0
C000247,25,97.2,2467.09,1,0,credit_card,two_year,1,0,0.307,-3,0
C000248,48,158.97,7671.45,2,0,boleto,one_year,1,0,0.096,41,0
C000249,3,143.4,477.65,2,1,boleto,one_year,0,0,0.133,23,1
C000250,11,127.33,1370.26,2,0,credit_card,two_year,0,0,0.244,-13,1
C000251,30,115.1,3511.88,4,0,boleto,one_year,1,0,0.21,22,1
C000252,12,123.76,1460.48,1,1,credit_card,one_year,0,0,0.195,7,1
C000253,20,79.83,1629.29,0,0,pix,month_to_month,0,0,-0.068,-35,1
C000254,40,140.0,5574.55,1,1,pix,month_to_month,1,1,-0.15,8,1
C000255,9,71.08,628.51,6,1,credit_card,month_to_month,0,1,-0.001,46,1
C000256,41,139.24,5587.71,2,1,credit_card,one_year,0,0,0.135,10,1
C000257,7,151.51,1045.51,0,0,credit_card,two_year,0,0,-0.181,-33,1
C000258,11,117.38,1295.74,0,0,boleto,two_year,0,0,0.155,80,1
C000259,36,103.83,3717.47,1,0,credit_card,month_to_month,0,0,0.117,-15,1
C000260,48,124.01,6040.33,2,1,credit_card,one_year,0,0,0.017,33,0
C000261,11,20.0,161.88,4,1,pix,month_to_month,1,1,0.061,49,1
C000262,18,120.58,2142.24,1,0,credit_card,month_to_month,1,1,0.062,35,0
C000263,56,106.03,5892.58,0,0,pix,two_year,0,0,0.129,12,0
C000264,60,108.23,6465.49,1,1,credit_card,two_year,1,0,0.184,-44,1
C000265,35,134.73,4767.07,1,0,pix,one_year,0,0,0.567,61,0
C000266,27,107.38,2973.24,1,0,boleto,one_year,0,1,0.08,-21,1
C000267,21,70.09,1436.91,0,0,credit_card,month_to_month,1,0,-0.066,54,0
C000268,37,105.05,3850.73,1,0,credit_card,one_year,1,1,-0.293,59,0
C000269,36,112.36,3987.26,1,1,credit_card,month_to_month,1,0,-0.203,-23,1
C000270,18,114.02,2117.72,0,0,boleto,month_to_month,1,0,-0.086,-23,1
C000271,2,115.67,287.38,0,2,credit_card,one_year,1,1,0.174,6,1
C000272,10,146.38,1458.48,3,0,pix,month_to_month,0,0,-0.021,52,1
C000273,58,71.99,4105.54,1,1,boleto,one_year,0,1,0.123,-1,1
C000274,26,116.15,2954.55,0,0,pix,month_to_month,0,0,-0.082,23,0
C000275,29,155.15,4507.81,1,1,credit_card,month_to_month,1,1,0.132,2,1
C000276,29,49.29,1456.84,1,1,credit_card,month_to_month,0,1,0.207,47,1
C000277,47,116.29,5362.21,1,0,credit_card,month_to_month,0,0,-0.022,-2,1
C000278,4,89.51,341.98,1,0,credit_card,month_to_month,1,0,0.128,-5,1
C000279,5,97.03,566.04,2,0,credit_card,one_year,1,0,-0.029,-16,1
C000280,17,78.33,1320.76,0,0,credit_card,month_to_month,0,0,-0.172,-17,1
C000281,30,104.07,3196.45,0,2,boleto,month_to_month,0,0,0.15,57,1
C000282,41,174.44,7184.65,0,1,credit_card,one_year,1,0,0.124,7,0
C000283,30,65.74,1918.13,0,0,credit_card,one_year,1,1,0.157,-13,1
C000284,27,69.06,1850.08,0,0,credit_card,one_year,1,0,0.222,-38,0
C000285,57,64.43,3666.21,4,1,boleto,month_to_month,0,0,0.005,11,1
C000286,10,170.46,1656.97,4,0,boleto,one_year,0,1,0.018,-9,1
C000287,35,93.82,3235.14,1,0,boleto,month_to_month,0,1,-0.001,-15,1
C000288,33,109.1,3675.73,0,0,credit_card,month_to_month,1,0,0.112,-7,0
C000289,29,95.9,2732.31,1,2,boleto,month_to_month,1,0,0.025,24,1
C000290,49,76.95,3824.24,0,0,boleto,one_year,1,0,0.073,-21,1
C000291,17,101.77,1708.26,0,0,credit_card,month_to_month,0,1,-0.08,9,1
C000292,58,196.04,11368.95,0,0,credit_card,two_year,0,0,-0.135,51,0
C000293,20,158.72,3202.54,2,0,pix,month_to_month,1,0,-0.114,1,1
C000294,33,80.15,2614.93,1,1,credit_card,month_to_month,1,0,0.125,-17,1
C000295,32,132.67,4273.68,2,1,credit_card,month_to_month,0,0,0.042,57,1
C000296,51,80.9,4023.41,1,0,credit_card,one_year,1,0,-0.039,17,1
C000297,27,47.83,1313.32,3,1,pix,month_to_month,0,0,0.169,14,1
C000298,18,145.68,2498.87,3,0,credit_card,one_year,1,0,0.312,38,1
C000299,2,150.6,289.86,1,0,pix,month_to_month,1,0,-0.039,17,0
C000300,22,146.61,3268.17,0,0,pix,month_to_month,0,1,-0.145,22,0
C000301,50,93.55,4708.85,1,0,boleto,one_year,1,1,0.22,-35,0
C000302,1,104.16,39.24,0,0,credit_card,one_year,0,1,0.053,-9,0
C000303,54,136.24,7298.57,4,0,credit_card,one_year,0,0,0.017,85,0
C000304,33,123.7,4047.74,1,2,pix,month_to_month,1,1,0.233,-16,1
C000305,9,96.22,875.31,0,2,pix,one_year,1,0,0.003,22,1
C000306,19,53.33,911.72,1,0,pix,one_year,0,1,0.121,81,0
C000307,34,113.99,3874.85,1,2,pix,two_year,1,1,0.079,44,0
C000308,19,147.77,2823.11,0,0,boleto,month_to_month,0,0,0.634,30,1
C000309,7,68.08,462.44,0,1,credit_card,two_year,1,0,0.026,-8,1
C000310,40,132.36,5320.53,1,0,credit_card,two_year,0,1,0.219,-2,0
C000311,41,121.6,4996.95,1,0,credit_card,month_to_month,0,0,0.005,9,1
C000312,8,136.26,1062.96,1,1,credit_card,one_year,0,1,0.131,32,1
C000313,17,140.52,2292.02,1,0,credit_card,month_to_month,1,1,0.015,65,0
C000314,15,85.69,1292.08,0,1,credit_card,month_to_month,1,1,0.193,24,1
C000315,40,53.41,2088.6,1,1,credit_card,one_year,0,0,0.033,0,0
C000316,44,91.33,3989.46,1,1,credit_card,month_to_month,1,0,0.141,17,0
C000317,44,141.12,6233.21,0,2,boleto,month_to_month,0,1,-0.086,38,1
C000318,57,91.03,5259.57,0,1,boleto,one_year,0,1,-0.093,32,1
C000319,47,85.71,4026.4,2,0,boleto,two_year,0,0,-0.289,11,0
C000320,20,46.25,952.76,1,1,boleto,month_to_month,1,0,0.116,-19,1
C000321,7,171.34,1127.17,3,0,credit_card,month_to_month,0,0,-0.067,58,1
C000322,37,138.9,5151.58,2,1,credit_card,month_to_month,0,1,0.445,11,0
C000323,55,136.95,7529.05,0,2,credit_card,month_to_month,1,1,-0.035,29,0
C000324,59,143.87,8549.81,3,0,credit_card,two_year,0,0,0.274,-4,1
C000325,14,130.18,1795.56,2,2,boleto,month_to_month,0,1,0.256,-5,1
C000326,15,101.45,1509.65,1,0,boleto,one_year,1,0,0.006,37,1
C000327,3,104.27,365.75,1,1,credit_card,month_to_month,1,0,-0.083,-24,1
C000328,9,95.04,850.72,1,1,pix,two_year,0,0,0.026,-21,1
C000329,34,202.22,6819.9,2,1,credit_card,month_to_month,0,0,0.254,73,1
C000330,33,129.46,4399.66,0,1,credit_card,two_year,1,0,0.461,49,0
C000331,23,93.77,2102.71,1,1,pix,one_year,0,0,-0.172,35,0
C000332,19,126.29,2396.32,1,1,boleto,two_year,1,0,0.053,-18,1
C000333,50,74.62,3748.31,1,1,boleto,month_to_month,0,1,-0.059,28,1
C000334,28,162.66,4567.8,1,0,boleto,two_year,1,0,-0.015,17,0
C000335,49,86.86,4246.78,0,0,credit_card,month_to_month,0,0,0.357,5,0
